zip_code,city,region,date,max_temp_f,min_temp_f,condition
90045,Los Angeles,California,2026-04-29,73.9,49.6,Sunny
90045,Los Angeles,California,2026-04-30,68.3,51.1,Sunny
90045,Los Angeles,California,2026-05-01,69.5,60.9,Sunny
10001,New York,New York,2026-04-30,62.6,47.8,Moderate rain
10001,New York,New York,2026-05-01,63.2,46.5,Partly Cloudy
10001,New York,New York,2026-05-02,59.2,48.7,Patchy rain nearby
60601,Chicago,Illinois,2026-04-30,49.8,42.3,Patchy rain nearby
60601,Chicago,Illinois,2026-05-01,45.2,40.3,Patchy rain nearby
60601,Chicago,Illinois,2026-05-02,46.4,39.8,Partly Cloudy
98101,Seattle,Washington,2026-04-29,66.9,42.8,Sunny
98101,Seattle,Washington,2026-04-30,68.8,46.6,Sunny
98101,Seattle,Washington,2026-05-01,69.1,47.3,Sunny
33101,Miami,Florida,2026-04-30,88.7,69.1,Sunny
33101,Miami,Florida,2026-05-01,83.0,76.2,Sunny
33101,Miami,Florida,2026-05-02,88.2,78.3,Sunny
77001,Houston,Texas,2026-04-30,84.8,70.2,Patchy rain nearby
77001,Houston,Texas,2026-05-01,66.9,55.0,Moderate rain
77001,Houston,Texas,2026-05-02,76.1,55.1,Cloudy
85001,Phoenix,Arizona,2026-04-29,95.2,60.4,Sunny
85001,Phoenix,Arizona,2026-04-30,89.2,58.3,Sunny
85001,Phoenix,Arizona,2026-05-01,88.9,68.3,Sunny
19101,Philadelphia,Pennsylvania,2026-04-30,63.1,49.2,Patchy rain nearby
19101,Philadelphia,Pennsylvania,2026-05-01,61.7,42.8,Patchy rain nearby
19101,Philadelphia,Pennsylvania,2026-05-02,60.3,47.2,Patchy rain nearby
78201,San Antonio,Texas,2026-04-30,80.0,63.7,Patchy rain nearby
78201,San Antonio,Texas,2026-05-01,63.1,55.1,Moderate rain
78201,San Antonio,Texas,2026-05-02,71.5,54.2,Partly Cloudy
92101,San Diego,California,2026-04-29,73.2,52.3,Sunny
92101,San Diego,California,2026-04-30,66.6,53.4,Sunny
92101,San Diego,California,2026-05-01,67.8,60.9,Partly Cloudy
75201,Dallas,Texas,2026-04-30,65.1,58.9,Patchy rain nearby
75201,Dallas,Texas,2026-05-01,56.2,51.5,Heavy rain
75201,Dallas,Texas,2026-05-02,73.1,50.9,Sunny
95101,San Jose,California,2026-04-29,77.7,49.6,Sunny
95101,San Jose,California,2026-04-30,78.0,47.3,Sunny
95101,San Jose,California,2026-05-01,80.2,47.3,Sunny
78701,Austin,Texas,2026-04-30,73.5,61.3,Patchy rain nearby
78701,Austin,Texas,2026-05-01,61.7,53.8,Heavy rain
78701,Austin,Texas,2026-05-02,71.1,53.0,Partly Cloudy
32099,Jacksonville,Florida,2026-04-30,87.6,70.2,Patchy rain nearby
32099,Jacksonville,Florida,2026-05-01,87.4,68.5,Patchy rain nearby
32099,Jacksonville,Florida,2026-05-02,86.0,60.5,Patchy rain nearby
43215,Columbus,Ohio,2026-04-30,56.5,43.9,Patchy rain nearby
43215,Columbus,Ohio,2026-05-01,52.4,42.1,Moderate rain
43215,Columbus,Ohio,2026-05-02,55.0,38.1,Sunny
46201,Indianapolis,Indiana,2026-04-30,57.3,38.5,Partly Cloudy
46201,Indianapolis,Indiana,2026-05-01,56.8,46.0,Patchy rain nearby
46201,Indianapolis,Indiana,2026-05-02,53.5,40.8,Patchy rain nearby
94102,San Francisco,California,2026-04-29,69.3,49.6,Sunny
94102,San Francisco,California,2026-04-30,62.8,50.7,Sunny
94102,San Francisco,California,2026-05-01,62.1,54.3,Partly Cloudy
28201,Charlotte,North Carolina,2026-04-30,73.0,56.2,Patchy rain nearby
28201,Charlotte,North Carolina,2026-05-01,69.2,50.7,Partly Cloudy
28201,Charlotte,North Carolina,2026-05-02,56.9,49.4,Moderate rain
80201,Denver,Colorado,2026-04-30,52.9,40.8,Moderate rain
80201,Denver,Colorado,2026-05-01,60.0,39.0,Patchy rain nearby
80201,Denver,Colorado,2026-05-02,68.4,43.0,Sunny
20001,Washington,District of Columbia,2026-04-30,65.8,49.2,Patchy rain nearby
20001,Washington,District of Columbia,2026-05-01,65.0,43.2,Patchy rain nearby
20001,Washington,District of Columbia,2026-05-02,59.4,41.7,Patchy rain nearby
